lexeme	lang	mframe	trans	frame	tax_class	field	meaning	usage
thick	английский	бумага	sheet of paper	толстые / тонкие слои	размер		d	+
thick	английский	слой пыли	layer	толстые / тонкие слои	размер		d	+
thick	английский	ткань	textile	толстые / тонкие слои	размер		d	+
thick	английский	книга	book	толстые / тонкие слои	размер		d	+
thick	английский	стена	wall	толстые / тонкие слои	размер		d	+
thick	английский	столб	pole	толстые / тонкие стержни	размер		d	-
thick	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
thick	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
thick	английский	палка	stick	толстые / тонкие стержни	размер		d	-
thick	английский	веревка	rope	толстые / тонкие стержни	размер		d	+
thick	английский	волосы	hair	толстые / тонкие стержни	размер		d	+
thick	английский	дудка	pipe	толстые / тонкие стержни	размер		d	+
thick	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	+
thick	английский	туман	fog	разреженная консистенция: газообразное вещество	размер		d	+
thick	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
thick	английский	каша	porridge	плотная консистенция: жидкость	размер		d	+
thick	английский	лес	forest	разреженная консистенция: твёрдые объекты	размер		d	-
thick	английский	человек	person	человек	размер		d	-
thick	английский	тесьма	braid	широкие полосы	размер		d	+
thick	английский	доска	plank	широкие полосы	размер		d	-
thick	английский	дорога	road	широкие полосы	размер		d	-
thick	английский	окно	window	широкие полосы	размер		d	-
thick	английский	поле	field	широкая поверхность	размер		d	-
thick	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
thick	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
thick	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
thick	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
thick	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
thick	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
thick	английский	комната	room	просторное пространство	размер		d	-
thick	английский	кровать	bed	просторное пространство	размер		d	-
thin	английский	бумага	sheet of paper	толстые / тонкие слои	размер		d	+
thin	английский	слой пыли	layer	толстые / тонкие слои	размер		d	+
thin	английский	ткань	textile	толстые / тонкие слои	размер		d	+
thin	английский	книга	book	толстые / тонкие слои	размер		d	+
thin	английский	стена	wall	толстые / тонкие слои	размер		d	+
thin	английский	столб	pole	толстые / тонкие стержни	размер		d	-
thin	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
thin	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
thin	английский	палка	stick	толстые / тонкие стержни	размер		d	-
thin	английский	веревка	rope	толстые / тонкие стержни	размер		d	+
thin	английский	волосы	hair	толстые / тонкие стержни	размер		d	+
thin	английский	дудка	pipe	толстые / тонкие стержни	размер		d	+
thin	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	+
thin	английский	туман	fog	разреженная консистенция: газообразное вещество	размер		d	+
thin	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
thin	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
thin	английский	лес	forest	разреженная консистенция: твёрдые объекты	размер		d	-
thin	английский	человек	person	человек	размер		d	-
thin	английский	тесьма	braid	широкие полосы	размер		d	+
thin	английский	доска	plank	широкие полосы	размер		d	-
thin	английский	дорога	road	широкие полосы	размер		d	-
thin	английский	окно	window	широкие полосы	размер		d	-
thin	английский	поле	field	широкая поверхность	размер		d	-
thin	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
thin	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
thin	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
thin	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
thin	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
thin	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
thin	английский	комната	room	просторное пространство	размер		d	-
thin	английский	кровать	bed	просторное пространство	размер		d	-
fat	английский	бумага	sheet of paper	толстые / тонкие слои	размер		d	-
fat	английский	слой пыли	layer	толстые / тонкие слои	размер		d	-
fat	английский	ткань	textile	толстые / тонкие слои	размер		d	-
fat	английский	книга	book	толстые / тонкие слои	размер		d	-
fat	английский	стена	wall	толстые / тонкие слои	размер		d	-
fat	английский	столб	pole	толстые / тонкие стержни	размер		d	-
fat	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
fat	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
fat	английский	палка	stick	толстые / тонкие стержни	размер		d	-
fat	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
fat	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
fat	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
fat	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
fat	английский	туман	fog	разреженная консистенция: газообразное вещество	размер		d	-
fat	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
fat	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
fat	английский	лес	forest	разреженная консистенция: твёрдые объекты	размер		d	-
fat	английский	человек	person	человек	размер		d	+
fat	английский	тесьма	braid	широкие полосы	размер		d	-
fat	английский	доска	plank	широкие полосы	размер		d	-
fat	английский	дорога	road	широкие полосы	размер		d	-
fat	английский	окно	window	широкие полосы	размер		d	-
fat	английский	поле	field	широкая поверхность	размер		d	-
fat	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
fat	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
fat	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
fat	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
fat	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
fat	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
fat	английский	комната	room	просторное пространство	размер		d	-
fat	английский	кровать	bed	просторное пространство	размер		d	-
slim	английский	бумага	sheet of paper	толстые / тонкие слои	размер		d	-
slim	английский	слой пыли	layer	толстые / тонкие слои	размер		d	-
slim	английский	ткань	textile	толстые / тонкие слои	размер		d	-
slim	английский	книга	book	толстые / тонкие слои	размер		d	-
slim	английский	стена	wall	толстые / тонкие слои	размер		d	-
slim	английский	столб	pole	толстые / тонкие стержни	размер		d	-
slim	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
slim	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
slim	английский	палка	stick	толстые / тонкие стержни	размер		d	-
slim	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
slim	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
slim	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
slim	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
slim	английский	туман	fog	разреженная консистенция: газообразное вещество	размер		d	-
slim	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
slim	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
slim	английский	лес	forest	разреженная консистенция: твёрдые объекты	размер		d	-
slim	английский	человек	person	человек	размер		d	+
slim	английский	тесьма	braid	широкие полосы	размер		d	-
slim	английский	доска	plank	широкие полосы	размер		d	-
slim	английский	дорога	road	широкие полосы	размер		d	-
slim	английский	окно	window	широкие полосы	размер		d	-
slim	английский	поле	field	широкая поверхность	размер		d	-
slim	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
slim	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
slim	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
slim	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
slim	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
slim	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
slim	английский	комната	room	просторное пространство	размер		d	-
slim	английский	кровать	bed	просторное пространство	размер		d	-
broad	английский	бумага	sheet of paper	толстые / тонкие слои	размер		d	-
broad	английский	слой пыли	layer	толстые / тонкие слои	размер		d	-
broad	английский	ткань	textile	толстые / тонкие слои	размер		d	-
broad	английский	книга	book	толстые / тонкие слои	размер		d	-
broad	английский	стена	wall	толстые / тонкие слои	размер		d	+
broad	английский	столб	pole	толстые / тонкие стержни	размер		d	-
broad	английский	дерево	tree	толстые / тонкие стержни	размер		d	-
broad	английский	ветка	branch	толстые / тонкие стержни	размер		d	-
broad	английский	палка	stick	толстые / тонкие стержни	размер		d	-
broad	английский	веревка	rope	толстые / тонкие стержни	размер		d	-
broad	английский	волосы	hair	толстые / тонкие стержни	размер		d	-
broad	английский	дудка	pipe	толстые / тонкие стержни	размер		d	-
broad	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
broad	английский	туман	fog	разреженная консистенция: газообразное вещество	размер		d	-
broad	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
broad	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
broad	английский	лес	forest	разреженная консистенция: твёрдые объекты	размер		d	-
broad	английский	человек	person	человек	размер		d	-
broad	английский	тесьма	braid	широкие полосы	размер		d	-
broad	английский	доска	plank	широкие полосы	размер		d	-
broad	английский	дорога	road	широкие полосы	размер		d	-
broad	английский	окно	window	широкие полосы	размер		d	-
broad	английский	поле	field	широкая поверхность	размер		d	-
broad	английский	горлышко бутылки	bottleneck	широкие отверстия	размер		d	-
broad	английский	коридор	hallway	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
broad	английский	улица	street	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
broad	английский	труба	trumpet	широкие трубки (функциональная внутренняя поверхность)	размер		d	-
broad	английский	юбка	skirt	широкая/просторная обувь/одежда	размер		d	-
broad	английский	туфли	shoe	широкая/просторная обувь/одежда	размер		d	-
