	lexeme	lang	mframe	trans	frame	tax_class	field	meaning	usage
12	thick	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	+
43	thin	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	+
136	broad	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
74	fat	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
229	large	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
167	narrow	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
105	slim	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
260	spacious	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
198	wide	английский	песок	sand	однородное множество относительно крупных элементов	размер		d	-
15	thick	английский	каша	porridge	плотная консистенция: жидкость	размер		d	+
138	broad	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
139	broad	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
76	fat	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
77	fat	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
231	large	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
232	large	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
169	narrow	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
170	narrow	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
107	slim	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
108	slim	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
262	spacious	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
263	spacious	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
14	thick	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
45	thin	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
46	thin	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
200	wide	английский	дождь	rain	плотная консистенция: жидкость	размер		d	-
201	wide	английский	каша	porridge	плотная консистенция: жидкость	размер		d	-
184	narrow	английский	комната	room	просторное пространство	размер		d	+
185	narrow	английский	кровать	bed	просторное пространство	размер		d	+
277	spacious	английский	комната	room	просторное пространство	размер		d	+
278	spacious	английский	кровать	bed	просторное пространство	размер		d	+
153	broad	английский	комната	room	просторное пространство	размер		d	-
154	broad	английский	кровать	bed	просторное пространство	размер		d	-
91	fat	английский	комната	room	просторное пространство	размер		d	-
92	fat	английский	кровать	bed	просторное пространство	размер		d	-
246	large	английский	комната	room	просторное пространство	размер		d	-
247	large	английский	кровать	bed	просторное пространство	размер		d	-
122	slim	английский	комната	room	просторное пространство	размер		d	-
123	slim	английский	кровать	bed	просторное пространство	размер		d	-
29	thick	английский	комната	room	просторное пространство	размер		d	-
